RBC,PO2,HBsat
O2transport_init, 4.9e15, 1.1467116e-03, 7.6364383e-01
co2transport_init, 0.05004034, 0.02960993, 0.78838485, 0.09752594, 0.04786631

type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],res_start[SI],res_end[SI],visc_fact[1],k1[SI],k2[SI],k3[SI]
vis_f,253,R.greatsaphenousv.,n29,n27,0.0029,0.00375,0.00029,0.000375,0.375,22,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,254,L.greatsaphenousv.,n28,n26,0.0029,0.00375,0.00029,0.000375,0.375,22,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,255,L.ant.tibialv.,n28,n34,0.003,0.003,0.0003,0.0003,0.16,12,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,256,L.post.tibialv.,p13,n36,0.003,0.003,0.0003,0.0003,0.173,12,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,257,R.greatsaphenousv.,n27,n25,0.00375,0.00443,0.000375,0.000443,0.3,19,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,258,L.greatsaphenousv.,n26,n24,0.00375,0.00443,0.000375,0.000443,0.3,19,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,259,Confluenceofsinuses,n57,n58,0.002,0.002,0.0002,0.0002,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,260,Cerebralvein,p30,n61,0.003,0.003,0.0003,0.0003,0.04,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,271,Terminalcerebralvein,n102,n101,0.00618,0.00732,0.000618,0.000732,0.01,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,276,R.v.ofcochlearaq.I,p34,n49,0.0002,0.0002,0.00002,0.00002,0.013,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,277,R.labyrinthinev.I,p27,n53,0.00074,0.00074,0.000074,0.000074,0.0086,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,279,L.v.ofcochlearaq.I,p35,n50,0.0002,0.0002,0.00002,0.00002,0.013,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
